"phenotype_id","version_id","phenotype_name","type","author","owner","tags","collections","clinical_terminologies","data_sources","versions"
"PH11","22","COPD","Disease or Syndrome","Eleanor L Axson, Jennifer K Quint","ieuan.scanlon","[]","[{'description': 'BREATHE', 'id': 19, 'collection_brand': 'HDRUK'}, {'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}, {'name': 'ICD10 codes', 'id': 4}, {'name': 'UKBioBank codes', 'id': 12}, {'name': 'ICD11 codes', 'id': 18}, {'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 13, 'name': 'UK Biobank', 'url': 'https://web.www.healthdatagateway.org/dataset/439e71c7-33b5-4e85-98ce-4b068f2523ad', 'datasource_id': 13}, {'id': 6, 'name': 'CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/1d574c14-1af0-490d-9c4e-be88cfd0e345', 'datasource_id': 6}, {'id': 12, 'name': 'Death Registration data for CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/ad8f07ef-a984-449b-8a60-d1dd564cc36d', 'datasource_id': 12}, {'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}, {'id': 11, 'name': 'Death Registration data for CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/1d35e229-13eb-4be1-9dae-4752b6c27c4a', 'datasource_id': 11}, {'id': 10, 'name': 'HES Admitted Patient Care data for CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/ed2de8fe-a204-4a4e-bcfa-9e3ad85e2fee', 'datasource_id': 10}, {'id': 9, 'name': 'HES Admitted Patient Care data for CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/4bcf64a6-f404-4ef4-ae6e-172512ab5f43', 'datasource_id': 9}]","[{'version_id': 22, 'version_name': 'COPD', 'version_date': '2021-10-06T15:59:19.850355Z', 'is_published': True, 'is_latest': True}]"
"PH12","24","Asthma","Disease or Syndrome","Eleanor L Axson, Jennifer K Quint","ieuan.scanlon","[]","[{'description': 'BREATHE', 'id': 19, 'collection_brand': 'HDRUK'}, {'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}, {'name': 'ICD10 codes', 'id': 4}, {'name': 'UKBioBank codes', 'id': 12}, {'name': 'ICD11 codes', 'id': 18}, {'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 13, 'name': 'UK Biobank', 'url': 'https://web.www.healthdatagateway.org/dataset/439e71c7-33b5-4e85-98ce-4b068f2523ad', 'datasource_id': 13}, {'id': 6, 'name': 'CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/1d574c14-1af0-490d-9c4e-be88cfd0e345', 'datasource_id': 6}, {'id': 12, 'name': 'Death Registration data for CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/ad8f07ef-a984-449b-8a60-d1dd564cc36d', 'datasource_id': 12}, {'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}, {'id': 11, 'name': 'Death Registration data for CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/1d35e229-13eb-4be1-9dae-4752b6c27c4a', 'datasource_id': 11}, {'id': 10, 'name': 'HES Admitted Patient Care data for CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/ed2de8fe-a204-4a4e-bcfa-9e3ad85e2fee', 'datasource_id': 10}, {'id': 9, 'name': 'HES Admitted Patient Care data for CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/4bcf64a6-f404-4ef4-ae6e-172512ab5f43', 'datasource_id': 9}]","[{'version_id': 24, 'version_name': 'Asthma', 'version_date': '2021-10-06T15:59:27.257480Z', 'is_published': True, 'is_latest': True}]"
"PH13","26","Bronchiestasis","Disease or Syndrome","Eleanor L Axson, Jennifer K Quint","ieuan.scanlon","[]","[{'description': 'BREATHE', 'id': 19, 'collection_brand': 'HDRUK'}, {'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}, {'name': 'ICD10 codes', 'id': 4}, {'name': 'UKBioBank codes', 'id': 12}, {'name': 'ICD11 codes', 'id': 18}, {'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 13, 'name': 'UK Biobank', 'url': 'https://web.www.healthdatagateway.org/dataset/439e71c7-33b5-4e85-98ce-4b068f2523ad', 'datasource_id': 13}, {'id': 6, 'name': 'CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/1d574c14-1af0-490d-9c4e-be88cfd0e345', 'datasource_id': 6}, {'id': 12, 'name': 'Death Registration data for CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/ad8f07ef-a984-449b-8a60-d1dd564cc36d', 'datasource_id': 12}, {'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}, {'id': 11, 'name': 'Death Registration data for CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/1d35e229-13eb-4be1-9dae-4752b6c27c4a', 'datasource_id': 11}, {'id': 10, 'name': 'HES Admitted Patient Care data for CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/ed2de8fe-a204-4a4e-bcfa-9e3ad85e2fee', 'datasource_id': 10}, {'id': 9, 'name': 'HES Admitted Patient Care data for CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/4bcf64a6-f404-4ef4-ae6e-172512ab5f43', 'datasource_id': 9}]","[{'version_id': 26, 'version_name': 'Bronchiestasis', 'version_date': '2021-10-06T15:59:31.622321Z', 'is_published': True, 'is_latest': True}]"
"PH14","28","Cystic Fibrosis","Disease or Syndrome","Eleanor L Axson, Jennifer K Quint","ieuan.scanlon","[]","[{'description': 'BREATHE', 'id': 19, 'collection_brand': 'HDRUK'}, {'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}, {'name': 'ICD10 codes', 'id': 4}, {'name': 'UKBioBank codes', 'id': 12}, {'name': 'ICD11 codes', 'id': 18}, {'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 13, 'name': 'UK Biobank', 'url': 'https://web.www.healthdatagateway.org/dataset/439e71c7-33b5-4e85-98ce-4b068f2523ad', 'datasource_id': 13}, {'id': 6, 'name': 'CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/1d574c14-1af0-490d-9c4e-be88cfd0e345', 'datasource_id': 6}, {'id': 12, 'name': 'Death Registration data for CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/ad8f07ef-a984-449b-8a60-d1dd564cc36d', 'datasource_id': 12}, {'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}, {'id': 11, 'name': 'Death Registration data for CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/1d35e229-13eb-4be1-9dae-4752b6c27c4a', 'datasource_id': 11}, {'id': 10, 'name': 'HES Admitted Patient Care data for CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/ed2de8fe-a204-4a4e-bcfa-9e3ad85e2fee', 'datasource_id': 10}, {'id': 9, 'name': 'HES Admitted Patient Care data for CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/4bcf64a6-f404-4ef4-ae6e-172512ab5f43', 'datasource_id': 9}]","[{'version_id': 28, 'version_name': 'Cystic Fibrosis', 'version_date': '2021-10-06T15:59:36.640428Z', 'is_published': True, 'is_latest': True}]"
"PH15","30","Pneumonia","Disease or Syndrome","Eleanor L Axson, Jennifer K Quint","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}, {'name': 'ICD10 codes', 'id': 4}, {'name': 'ICD11 codes', 'id': 18}, {'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 13, 'name': 'UK Biobank', 'url': 'https://web.www.healthdatagateway.org/dataset/439e71c7-33b5-4e85-98ce-4b068f2523ad', 'datasource_id': 13}, {'id': 6, 'name': 'CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/1d574c14-1af0-490d-9c4e-be88cfd0e345', 'datasource_id': 6}, {'id': 12, 'name': 'Death Registration data for CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/ad8f07ef-a984-449b-8a60-d1dd564cc36d', 'datasource_id': 12}, {'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}, {'id': 11, 'name': 'Death Registration data for CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/1d35e229-13eb-4be1-9dae-4752b6c27c4a', 'datasource_id': 11}, {'id': 10, 'name': 'HES Admitted Patient Care data for CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/ed2de8fe-a204-4a4e-bcfa-9e3ad85e2fee', 'datasource_id': 10}, {'id': 9, 'name': 'HES Admitted Patient Care data for CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/4bcf64a6-f404-4ef4-ae6e-172512ab5f43', 'datasource_id': 9}]","[{'version_id': 30, 'version_name': 'Pneumonia', 'version_date': '2021-10-06T15:59:45.151882Z', 'is_published': True, 'is_latest': True}]"
"PH16","32","Blood Pressure","Biomarker","Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}]","[{'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 32, 'version_name': 'Blood Pressure', 'version_date': '2021-10-06T15:59:46.697403Z', 'is_published': True, 'is_latest': True}]"
"PH17","34","Body Mass Index","Biomarker","Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[]","[{'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 34, 'version_name': 'Body Mass Index', 'version_date': '2021-10-06T15:59:47.261829Z', 'is_published': True, 'is_latest': True}]"
"PH18","36","Marital status","Lifestyle Risk Factor","CALIBER","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}, {'name': 'Med codes', 'id': 8}]","[{'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 36, 'version_name': 'Marital status', 'version_date': '2021-10-06T15:59:51.180944Z', 'is_published': True, 'is_latest': True}]"
"PH19","38","Anaphylaxis","Disease or Syndrome","Cardoso V.,Nirantharakumar K.,Gkoutos G","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}, {'name': 'ICD10 codes', 'id': 4}]","[{'id': 2, 'name': 'Hospital Episode Statistics Admitted Patient Care', 'url': 'https://web.www.healthdatagateway.org/dataset/2b6409db-a669-4bef-9fd5-39c2b6f8d5e9', 'datasource_id': 2}, {'id': 14, 'name': 'The Health Improvement Network (THIN)', 'url': '', 'datasource_id': 14}]","[{'version_id': 38, 'version_name': 'Anaphylaxis', 'version_date': '2021-10-06T15:59:52.819378Z', 'is_published': True, 'is_latest': True}]"
"PH20","40","Hearing loss","Disease or Syndrome","Cardoso V.,Nirantharakumar K.,Gkoutos G","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}, {'name': 'ICD10 codes', 'id': 4}]","[{'id': 2, 'name': 'Hospital Episode Statistics Admitted Patient Care', 'url': 'https://web.www.healthdatagateway.org/dataset/2b6409db-a669-4bef-9fd5-39c2b6f8d5e9', 'datasource_id': 2}, {'id': 14, 'name': 'The Health Improvement Network (THIN)', 'url': '', 'datasource_id': 14}]","[{'version_id': 40, 'version_name': 'Hearing loss', 'version_date': '2021-10-06T15:59:55.510314Z', 'is_published': True, 'is_latest': True}]"
"PH21","42","Asthma","Disease or Syndrome","Carr E, Bendayan R, Bean D, OGallagher K, Pickles A, Stahl D, Zakeri R, Searle T, Shek A, Kraljevic Z, Teo J, Shah A, Dobson R","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 15, 'name': 'Kings College Hospital NHS Foundation Trust', 'url': '', 'datasource_id': 15}]","[{'version_id': 42, 'version_name': 'Asthma', 'version_date': '2021-10-06T15:59:56.499451Z', 'is_published': True, 'is_latest': True}]"
"PH22","44","Chronic Kidney Disease (CKD)","Disease or Syndrome","Carr E, Bendayan R, Bean D, OGallagher K, Pickles A, Stahl D, Zakeri R, Searle T, Shek A, Kraljevic Z, Teo J, Shah A, Dobson R","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 15, 'name': 'Kings College Hospital NHS Foundation Trust', 'url': '', 'datasource_id': 15}]","[{'version_id': 44, 'version_name': 'Chronic Kidney Disease (CKD)', 'version_date': '2021-10-06T15:59:57.456793Z', 'is_published': True, 'is_latest': True}]"
"PH23","46","Chronic Obstructive Pulmonary Disease (COPD)","Disease or Syndrome","Carr E, Bendayan R, Bean D, OGallagher K, Pickles A, Stahl D, Zakeri R, Searle T, Shek A, Kraljevic Z, Teo J, Shah A, Dobson R","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 15, 'name': 'Kings College Hospital NHS Foundation Trust', 'url': '', 'datasource_id': 15}]","[{'version_id': 46, 'version_name': 'Chronic Obstructive Pulmonary Disease (COPD)', 'version_date': '2021-10-06T15:59:58.416600Z', 'is_published': True, 'is_latest': True}]"
"PH24","48","Diabetes","Disease or Syndrome","Carr E, Bendayan R, Bean D, OGallagher K, Pickles A, Stahl D, Zakeri R, Searle T, Shek A, Kraljevic Z, Teo J, Shah A, Dobson R","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 15, 'name': 'Kings College Hospital NHS Foundation Trust', 'url': '', 'datasource_id': 15}]","[{'version_id': 48, 'version_name': 'Diabetes', 'version_date': '2021-10-06T15:59:59.357949Z', 'is_published': True, 'is_latest': True}]"
"PH25","50","Heart failure","Disease or Syndrome","Carr E, Bendayan R, Bean D, OGallagher K, Pickles A, Stahl D, Zakeri R, Searle T, Shek A, Kraljevic Z, Teo J, Shah A, Dobson R","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 15, 'name': 'Kings College Hospital NHS Foundation Trust', 'url': '', 'datasource_id': 15}]","[{'version_id': 50, 'version_name': 'Heart failure', 'version_date': '2021-10-06T16:00:00.334325Z', 'is_published': True, 'is_latest': True}]"
"PH26","52","Hypertension","Disease or Syndrome","Carr E, Bendayan R, Bean D, OGallagher K, Pickles A, Stahl D, Zakeri R, Searle T, Shek A, Kraljevic Z, Teo J, Shah A, Dobson R","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 15, 'name': 'Kings College Hospital NHS Foundation Trust', 'url': '', 'datasource_id': 15}]","[{'version_id': 52, 'version_name': 'Hypertension', 'version_date': '2021-10-06T16:00:01.307083Z', 'is_published': True, 'is_latest': True}]"
"PH27","54","Ischaemic Heart Disease","Disease or Syndrome","Carr E, Bendayan R, Bean D, OGallagher K, Pickles A, Stahl D, Zakeri R, Searle T, Shek A, Kraljevic Z, Teo J, Shah A, Dobson R","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 15, 'name': 'Kings College Hospital NHS Foundation Trust', 'url': '', 'datasource_id': 15}]","[{'version_id': 54, 'version_name': 'Ischaemic Heart Disease', 'version_date': '2021-10-06T16:00:02.335003Z', 'is_published': True, 'is_latest': True}]"
"PH28","56","Eosinophils","Biomarker","Shah A","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}]","[{'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 56, 'version_name': 'Eosinophils', 'version_date': '2021-10-06T16:00:03.470004Z', 'is_published': True, 'is_latest': True}]"
"PH29","1511","Ethnic Status","Lifestyle Risk Factor","Julie George, Rohini Mathur, Anoop Dinesh Shah, Mar Pujades-Rodriguez, Spiros Denaxas, Liam Smeeth, Adam Timmis, Harry Hemingway","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}]","[{'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}, {'id': 9, 'name': 'HES Admitted Patient Care data for CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/4bcf64a6-f404-4ef4-ae6e-172512ab5f43', 'datasource_id': 9}]","[{'version_id': 1511, 'version_name': 'Ethnic Status', 'version_date': '2021-10-19T13:51:31.028721Z', 'is_published': True, 'is_latest': True}]"
